Programa,Tamaño,Hilos,Promedio_microsegundos
mmClasicaFork,600,1,353906.666666667
mmClasicaFork,600,2,182006.333333333
mmClasicaFork,600,4,101647.666666667
mmClasicaFork,600,12,97086.3333333333
mmClasicaFork,600,32,106205.833333333
mmClasicaFork,800,1,1003207.33333333
mmClasicaFork,800,2,471264.166666667
mmClasicaFork,800,4,223927.833333333
mmClasicaFork,800,12,230476.666666667
mmClasicaFork,800,32,229369.166666667
mmClasicaFork,1200,1,3539379.16666667
mmClasicaFork,1200,2,1736744.33333333
mmClasicaFork,1200,4,831297.5
mmClasicaFork,1200,12,759870.5
mmClasicaFork,1200,32,778079.5
mmClasicaFork,2400,1,88194657.8333333
mmClasicaFork,2400,2,41270625
mmClasicaFork,2400,4,21333986
mmClasicaFork,2400,12,20315874.6666667
mmClasicaFork,2400,32,20520678.6666667
mmClasicaPosix,600,1,354607
mmClasicaPosix,600,2,180802.833333333
mmClasicaPosix,600,4,95209.1666666667
mmClasicaPosix,600,12,93955.5
mmClasicaPosix,600,32,97104.1666666667
mmClasicaPosix,800,1,932931.5
mmClasicaPosix,800,2,433121.833333333
mmClasicaPosix,800,4,223385.166666667
mmClasicaPosix,800,12,223173.166666667
mmClasicaPosix,800,32,220901.5
mmClasicaPosix,1200,1,3381151.83333333
mmClasicaPosix,1200,2,1551651.83333333
mmClasicaPosix,1200,4,739182
mmClasicaPosix,1200,12,734137.333333333
mmClasicaPosix,1200,32,773545.166666667
mmClasicaPosix,2400,1,85471419
mmClasicaPosix,2400,2,42381815.3333333
