Programa,Tamaño,Hilos,Promedio_microsegundos
mmClasicaFork,600,1,320407.166666667
mmClasicaFork,600,2,160245.466666667
mmClasicaFork,600,4,87831.6333333333
mmClasicaFork,600,12,86098.4
mmClasicaFork,600,32,96394.6666666667
mmClasicaFork,800,1,811517.933333333
mmClasicaFork,800,2,376838.466666667
mmClasicaFork,800,4,201053.933333333
mmClasicaFork,800,12,198688.7
mmClasicaFork,800,32,202169.366666667
mmClasicaFork,1200,1,3836372
mmClasicaFork,1200,2,1732354.06666667
mmClasicaFork,1200,4,823689.866666667
mmClasicaFork,1200,12,753018.866666667
mmClasicaFork,1200,32,805695.633333333
mmClasicaFork,2400,1,119386961.133333
mmClasicaFork,2400,2,59297721.4333333
mmClasicaFork,2400,4,29453963.4333333
mmClasicaFork,2400,12,29615331.6
mmClasicaFork,2400,32,29984366.4
mmClasicaPosix,600,1,321321.833333333
mmClasicaPosix,600,2,163440.233333333
mmClasicaPosix,600,4,87500.0333333333
mmClasicaPosix,600,12,83032.9
mmClasicaPosix,600,32,88568.8666666667
mmClasicaPosix,800,1,798735.5
mmClasicaPosix,800,2,380389.6
mmClasicaPosix,800,4,195843.266666667
mmClasicaPosix,800,12,192457.5
mmClasicaPosix,800,32,191092.9
mmClasicaPosix,1200,1,3586832.4
mmClasicaPosix,1200,2,1660262.43333333
mmClasicaPosix,1200,4,773086.133333333
mmClasicaPosix,1200,12,723819.333333333
mmClasicaPosix,1200,32,773344.733333333
mmClasicaPosix,2400,1,117206879.333333
mmClasicaPosix,2400,2,58631380.6333333
mmClasicaPosix,2400,4,29317246.1
mmClasicaPosix,2400,12,29132268.1
mmClasicaPosix,2400,32,29336703.1
mmClasicaOpenMP,600,1,311920.133333333
mmClasicaOpenMP,600,2,160464.966666667
mmClasicaOpenMP,600,4,87857.1
mmClasicaOpenMP,600,12,82891.0333333333
mmClasicaOpenMP,600,32,83414.0666666667
mmClasicaOpenMP,800,1,824397
mmClasicaOpenMP,800,2,383705.233333333
mmClasicaOpenMP,800,4,197454.566666667
mmClasicaOpenMP,800,12,191684.266666667
mmClasicaOpenMP,800,32,191633.966666667
mmClasicaOpenMP,1200,1,3890554.5
mmClasicaOpenMP,1200,2,1735057.83333333
mmClasicaOpenMP,1200,4,771106.3
mmClasicaOpenMP,1200,12,775150.166666667
mmClasicaOpenMP,1200,32,730606.9
mmClasicaOpenMP,2400,1,117412004.7
mmClasicaOpenMP,2400,2,58499271.5666667
mmClasicaOpenMP,2400,4,29166050.8666667
mmClasicaOpenMP,2400,12,29263299.7
mmClasicaOpenMP,2400,32,29243884.1
mmFilasOpenMP,600,1,270065.166666667
mmFilasOpenMP,600,2,146072.433333333
mmFilasOpenMP,600,4,77278.9666666667
mmFilasOpenMP,600,12,74554.5
mmFilasOpenMP,600,32,74588.7333333333
mmFilasOpenMP,800,1,647830.5
mmFilasOpenMP,800,2,330310.333333333
mmFilasOpenMP,800,4,175450.966666667
mmFilasOpenMP,800,12,172029.733333333
mmFilasOpenMP,800,32,171398.366666667
mmFilasOpenMP,1200,1,2287195.83333333
mmFilasOpenMP,1200,2,1126525.63333333
mmFilasOpenMP,1200,4,567304.733333333
mmFilasOpenMP,1200,12,564605.1
mmFilasOpenMP,1200,32,562327.333333333
mmFilasOpenMP,2400,1,22108383.6666667
mmFilasOpenMP,2400,2,10928438.3666667
mmFilasOpenMP,2400,4,5460366.63333333
mmFilasOpenMP,2400,12,4877962.56666667
mmFilasOpenMP,2400,32,4892652.53333333
