Programa,Tamaño,Hilos,Promedio_microsegundos
mmClasicaFork,600,1,351233.266666667
mmClasicaFork,600,2,187857.666666667
mmClasicaFork,600,4,108068.4
mmClasicaFork,600,12,97742.4333333333
mmClasicaFork,600,32,112569.6
mmClasicaFork,800,1,899206.4
mmClasicaFork,800,2,436938.766666667
mmClasicaFork,800,4,228701.433333333
mmClasicaFork,800,12,228257.966666667
mmClasicaFork,800,32,223844.533333333
mmClasicaFork,1200,1,3601728.16666667
mmClasicaFork,1200,2,1650150.03333333
mmClasicaFork,1200,4,790425.1
mmClasicaFork,1200,12,754531.6
mmClasicaFork,1200,32,778133.833333333
mmClasicaFork,2400,1,92969196.2666667
mmClasicaFork,2400,2,46681944.5666667
mmClasicaFork,2400,4,23299765.7666667
mmClasicaFork,2400,12,23410994.1333333
mmClasicaFork,2400,32,23428284.6
mmClasicaPosix,600,1,348190.866666667
mmClasicaPosix,600,2,182573.2
mmClasicaPosix,600,4,99898
mmClasicaPosix,600,12,92317.1333333333
mmClasicaPosix,600,32,99608.0333333333
mmClasicaPosix,800,1,910814.766666667
mmClasicaPosix,800,2,423719.666666667
mmClasicaPosix,800,4,221741.333333333
mmClasicaPosix,800,12,237205.3
mmClasicaPosix,800,32,210811.266666667
mmClasicaPosix,1200,1,3622273.5
mmClasicaPosix,1200,2,1641697.06666667
mmClasicaPosix,1200,4,766612.8
mmClasicaPosix,1200,12,734212.1
mmClasicaPosix,1200,32,749542.466666667
mmClasicaPosix,2400,1,95375427.9666667
mmClasicaPosix,2400,2,47587850.3333333
mmClasicaPosix,2400,4,22737816.9
mmClasicaPosix,2400,12,22203350.4
mmClasicaPosix,2400,32,20998706.3
mmClasicaOpenMP,600,1,343135.933333333
mmClasicaOpenMP,600,2,178186.6
mmClasicaOpenMP,600,4,94414.9666666667
mmClasicaOpenMP,600,12,92002.4666666667
mmClasicaOpenMP,600,32,91479.1666666667
mmClasicaOpenMP,800,1,911270.533333333
mmClasicaOpenMP,800,2,428840.933333333
mmClasicaOpenMP,800,4,223126.233333333
mmClasicaOpenMP,800,12,217068.9
mmClasicaOpenMP,800,32,215814.166666667
mmClasicaOpenMP,1200,1,3404154.8
mmClasicaOpenMP,1200,2,1597410.76666667
mmClasicaOpenMP,1200,4,750483.6
mmClasicaOpenMP,1200,12,730200.466666667
mmClasicaOpenMP,1200,32,743276.2
mmClasicaOpenMP,2400,1,88124308.2666667
mmClasicaOpenMP,2400,2,46312852.7333333
mmClasicaOpenMP,2400,4,22984618.1666667
mmClasicaOpenMP,2400,12,21896848.9333333
mmClasicaOpenMP,2400,32,22543471
mmFilasOpenMP,600,1,311429.133333333
mmFilasOpenMP,600,2,165684.266666667
mmFilasOpenMP,600,4,86776.9666666667
mmFilasOpenMP,600,12,85226.3666666667
mmFilasOpenMP,600,32,85492.0333333333
mmFilasOpenMP,800,1,770753.433333333
mmFilasOpenMP,800,2,391377.166666667
mmFilasOpenMP,800,4,201945.766666667
mmFilasOpenMP,800,12,201019.066666667
mmFilasOpenMP,800,32,195424.866666667
mmFilasOpenMP,1200,1,2582091.73333333
mmFilasOpenMP,1200,2,1341807.3
mmFilasOpenMP,1200,4,676517.1
mmFilasOpenMP,1200,12,658081.166666667
mmFilasOpenMP,1200,32,662609.133333333
mmFilasOpenMP,2400,1,21653554.7333333
mmFilasOpenMP,2400,2,11177032.5666667
mmFilasOpenMP,2400,4,5713088.03333333
mmFilasOpenMP,2400,12,5398672.7
mmFilasOpenMP,2400,32,5340915.1
