Programa,Tamaño,Hilos,Promedio_microsegundos
mmClasicaFork,600,1,225562.233333333
mmClasicaFork,600,2,117152.333333333
mmClasicaFork,600,4,64844.3333333333
mmClasicaFork,600,12,42581.5
mmClasicaFork,600,32,45559.9666666667
mmClasicaFork,800,1,663110.1
mmClasicaFork,800,2,359963.066666667
mmClasicaFork,800,4,195772.6
mmClasicaFork,800,12,128289.1
mmClasicaFork,800,32,124140.6
mmClasicaFork,1200,1,2871831.63333333
mmClasicaFork,1200,2,1727765.43333333
mmClasicaFork,1200,4,1181411.43333333
mmClasicaFork,1200,12,1416661.73333333
mmClasicaFork,1200,32,2002074.53333333
mmClasicaFork,2400,1,68484859.9
mmClasicaFork,2400,2,45400297.6666667
mmClasicaFork,2400,4,240134507.5
mmClasicaFork,2400,12,1348434627.1
mmClasicaFork,2400,32,1539630509.6
mmClasicaPosix,600,1,260630
mmClasicaPosix,600,2,144102.6
mmClasicaPosix,600,4,66054.3666666667
mmClasicaPosix,600,12,44382.4333333333
mmClasicaPosix,600,32,69852.3666666667
mmClasicaPosix,800,1,701998.413793103
mmClasicaPosix,800,2,303364.133333333
mmClasicaPosix,800,4,181304.6
mmClasicaPosix,800,12,118262.133333333
mmClasicaPosix,800,32,114031.133333333
mmClasicaPosix,1200,1,2966699.96666667
mmClasicaPosix,1200,2,1691777.7
mmClasicaPosix,1200,4,1227333.23333333
mmClasicaPosix,1200,12,1344187.76666667
mmClasicaPosix,1200,32,1391437.56666667
mmClasicaPosix,2400,1,86945720.5666667
mmClasicaPosix,2400,2,52615742.2333333
mmClasicaPosix,2400,4,2203774756.53333
mmClasicaPosix,2400,12,35967361.1666667
mmClasicaPosix,2400,32,36026772.5
mmClasicaOpenMP,600,1,238882
mmClasicaOpenMP,600,2,116764.433333333
mmClasicaOpenMP,600,4,65512.8
mmClasicaOpenMP,600,12,46929.5333333333
mmClasicaOpenMP,600,32,43735.2333333333
mmClasicaOpenMP,800,1,624542.833333333
mmClasicaOpenMP,800,2,328395.866666667
mmClasicaOpenMP,800,4,186975.566666667
mmClasicaOpenMP,800,12,129020.6
mmClasicaOpenMP,800,32,128149.9
mmClasicaOpenMP,1200,1,2736514.3
mmClasicaOpenMP,1200,2,1744225.63333333
mmClasicaOpenMP,1200,4,1154898.7
mmClasicaOpenMP,1200,12,1410151.33333333
mmClasicaOpenMP,1200,32,1471608.56666667
mmClasicaOpenMP,2400,1,71816936.2333333
mmClasicaOpenMP,2400,2,45767502.8666667
mmClasicaOpenMP,2400,4,34953233.6666667
mmClasicaOpenMP,2400,12,36753791.7333333
mmClasicaOpenMP,2400,32,38035316.4333333
mmFilasOpenMP,600,1,248571.931034483
mmFilasOpenMP,600,2,117001.066666667
mmFilasOpenMP,600,4,60813.9666666667
mmFilasOpenMP,600,12,46845.3
mmFilasOpenMP,600,32,43259.9666666667
mmFilasOpenMP,800,1,496616.5
mmFilasOpenMP,800,2,259172.266666667
mmFilasOpenMP,800,4,137372.7
mmFilasOpenMP,800,12,84950.3666666667
mmFilasOpenMP,800,32,82035.5
mmFilasOpenMP,1200,1,1824151.93333333
mmFilasOpenMP,1200,2,939435.4
mmFilasOpenMP,1200,4,495664.6
mmFilasOpenMP,1200,12,332897.896551724
mmFilasOpenMP,1200,32,318722.566666667
mmFilasOpenMP,2400,1,17188945.3333333
mmFilasOpenMP,2400,2,8298628.86666667
mmFilasOpenMP,2400,4,4371054.56666667
mmFilasOpenMP,2400,12,3585995.66666667
mmFilasOpenMP,2400,32,3092770.46666667
