Programa,Tamaño,Hilos,Promedio_microsegundos
mmClasicaFork,600,1,272580.4
mmClasicaFork,600,2,151240.3
mmClasicaFork,600,4,81372.9
mmClasicaFork,600,12,33420.1
mmClasicaFork,600,32,27715.7
mmClasicaFork,800,1,585512.8
mmClasicaFork,800,2,312314.2
mmClasicaFork,800,4,166937.6
mmClasicaFork,800,12,72215.5
mmClasicaFork,800,32,59824.2
mmClasicaFork,1200,1,1998410.7
mmClasicaFork,1200,2,1044247.6
mmClasicaFork,1200,4,562037.3
mmClasicaFork,1200,12,228993.1
mmClasicaFork,1200,32,181562.7
mmClasicaFork,2400,1,16024539.5
mmClasicaFork,2400,2,8287421.6
mmClasicaFork,2400,4,4491227.5
mmClasicaFork,2400,12,1798458.4
mmClasicaFork,2400,32,1512843.1
mmClasicaPosix,600,1,260411.8
mmClasicaPosix,600,2,137992.1
mmClasicaPosix,600,4,70142.8
mmClasicaPosix,600,12,29510.9
mmClasicaPosix,600,32,25519.8
mmClasicaPosix,800,1,550142.5
mmClasicaPosix,800,2,287312.7
mmClasicaPosix,800,4,149820.3
mmClasicaPosix,800,12,63045.7
mmClasicaPosix,800,32,54680.3
mmClasicaPosix,1200,1,1887242.8
mmClasicaPosix,1200,2,994181.5
mmClasicaPosix,1200,4,514111.8
mmClasicaPosix,1200,12,217442.1
mmClasicaPosix,1200,32,168982.6
mmClasicaPosix,2400,1,15584520.7
mmClasicaPosix,2400,2,8103322.3
mmClasicaPosix,2400,4,4320133.5
mmClasicaPosix,2400,12,1728220.8
mmClasicaPosix,2400,32,1450320.9
mmClasicaOpenMP,600,1,255832.2
mmClasicaOpenMP,600,2,133220.5
mmClasicaOpenMP,600,4,69542.8
mmClasicaOpenMP,600,12,27812.9
mmClasicaOpenMP,600,32,23921.3
mmClasicaOpenMP,800,1,541331.1
mmClasicaOpenMP,800,2,285332.4
mmClasicaOpenMP,800,4,142562.3
mmClasicaOpenMP,800,12,60414.9
mmClasicaOpenMP,800,32,51222.8
mmClasicaOpenMP,1200,1,1835242.7
mmClasicaOpenMP,1200,2,971443.1
mmClasicaOpenMP,1200,4,499521.6
mmClasicaOpenMP,1200,12,210332.7
mmClasicaOpenMP,1200,32,164219.5
mmClasicaOpenMP,2400,1,15382140.8
mmClasicaOpenMP,2400,2,7955120.7
mmClasicaOpenMP,2400,4,4211423.3
mmClasicaOpenMP,2400,12,1693242.1
mmClasicaOpenMP,2400,32,1424433.2
mmFilasOpenMP,600,1,240553.1
mmFilasOpenMP,600,2,127210.4
mmFilasOpenMP,600,4,66812.9
mmFilasOpenMP,600,12,26631.8
mmFilasOpenMP,600,32,23342.5
mmFilasOpenMP,800,1,512442.7
mmFilasOpenMP,800,2,271131.5
mmFilasOpenMP,800,4,138242.8
mmFilasOpenMP,800,12,57713.1
mmFilasOpenMP,800,32,49682.9
mmFilasOpenMP,1200,1,1753121.9
mmFilasOpenMP,1200,2,935212.3
mmFilasOpenMP,1200,4,483921.4
mmFilasOpenMP,1200,12,202914.2
mmFilasOpenMP,1200,32,160210.9
mmFilasOpenMP,2400,1,14692412.4
mmFilasOpenMP,2400,2,7610221.5
mmFilasOpenMP,2400,4,4041332.7
mmFilasOpenMP,2400,12,1623220.4
mmFilasOpenMP,2400,32,1374421.9
